@1397848258473 | OLTP Data Parser: Initiated
@1397848270454 | Transaction 111: Verified => $610.5654114202641 from Capitol One:9 to Chase:17
@1397848270471 | Worker 108: committing Transaction 126
@1397848270487 | Transaction 126: Verifying
@1397848270503 | OLTP Data Parser: 1 transactions in queue
@1397848270520 | Transaction 98: Verified => $8077.488604442311 from Capitol One:7 to Citi:21
@1397848270536 | Transaction 70: Verified => $6003.35096046805 from Chase:28 to Chase:24
@1397848270552 | Transaction 51: Verified => $696.7983119687304 from MetLife:34 to Capitol One:12
@1397848270569 | Transaction 91: Verified => $3178.8330922367313 from Zion's Bank:9 to Zion's Bank:25
@1397848270585 | Transaction 80: Verified => $3721.7105744629275 from MetLife:38 to Zion's Bank:25
@1397848270601 | Transaction 79: Verified => $3595.3224650577085 from Wells Fargo:18 to Citi:25
@1397848270618 | Worker 11: committing Transaction 127
@1397848270634 | Transaction 127: Verifying
@1397848270651 | OLTP Data Parser: 1 transactions in queue
@1397848270668 | Transaction 72: Verified => $8763.150542181818 from MetLife:11 to Citi:11
@1397848270684 | Transaction 49: Verified => $4944.812844992994 from Wells Fargo:52 to Wells Fargo:0
@1397848270701 | Transaction 111: Verifying
@1397848270717 | Worker 52: committing Transaction 128
@1397848270736 | Transaction 128: Verifying
@1397848270754 | OLTP Data Parser: 1 transactions in queue
@1397848270770 | Transaction 112: Verified => $6755.873029437613 from Wells Fargo:8 to Wells Fargo:43
@1397848270788 | Transaction 112: Verifying
@1397848270805 | Transaction 91: Verifying
@1397848270822 | Transaction 79: Verifying
@1397848270839 | Transaction 38: Verified => $5236.391062154824 from Chase:4 to Chase:33
@1397848270856 | Transaction 75: Verified => $9701.500326471176 from Zion's Bank:8 to MetLife:41
@1397848270872 | Worker 13: committing Transaction 129
@1397848270889 | Transaction 129: Verifying
@1397848270906 | OLTP Data Parser: 1 transactions in queue
@1397848270923 | Transaction 94: Verified => $4267.713691535115 from MetLife:39 to ???????????? ????????:77
@1397848270940 | Transaction 92: Verified => $4355.167009401181 from ???????????? ????????:1 to ???????????? ????????:25
@1397848270956 | Transaction 92: Verifying
@1397848270973 | Transaction 54: Verified => $5079.935947465689 from MetLife:1 to ???????????? ????????:1
@1397848270990 | Transaction 94: Verifying
@1397848271007 | Transaction 90: Verified => $14.132416479344379 from Capitol One:13 to Wells Fargo:14
@1397848271024 | Transaction 86: Verified => $1312.5764175496147 from Capitol One:7 to Citi:9
@1397848271041 | Worker 9: committing Transaction 130
@1397848271057 | Transaction 130: Verifying
@1397848271074 | OLTP Data Parser: 1 transactions in queue
@1397848271091 | Transaction 82: Verified => $715.6294041446043 from Wells Fargo:14 to MetLife:13
@1397848271108 | Transaction 116: Verified => $1014.0162331979285 from Chase:14 to Citi:27
@1397848271125 | Transaction 52: Verified => $6405.332741382218 from Chase:21 to Citi:3
@1397848271142 | Worker 109: committing Transaction 131
@1397848271159 | Transaction 131: Verifying
@1397848271176 | OLTP Data Parser: 1 transactions in queue
@1397848271193 | Transaction 116: Verifying
@1397848271210 | Transaction 82: Verifying
@1397848271227 | Transaction 61: Verified => $7365.202075071331 from Citi:1 to Citi:24
@1397848271244 | Transaction 93: Verified => $692.5014523096285 from Chase:28 to Chase:21
@1397848271261 | Transaction 48: Verified => $6166.817799758051 from Zion's Bank:24 to ???????????? ????????:62
@1397848271279 | Worker 51: committing Transaction 132
@1397848271296 | Transaction 132: Verifying
@1397848271313 | OLTP Data Parser: 1 transactions in queue
@1397848271330 | Transaction 93: Verifying
@1397848271348 | Transaction 41: Verified => $8539.773429284229 from Citi:8 to Chase:4
@1397848271365 | Transaction 99: Verified => $6652.783084038466 from ???????????? ????????:19 to Citi:24
@1397848271382 | Transaction 43: Verified => $5996.7054708490095 from Citi:21 to Chase:8
@1397848271400 | Transaction 36: Verified => $6031.282985570814 from Citi:14 to Wells Fargo:20
@1397848271417 | Transaction 120: Verified => $2927.4485637533785 from Citi:15 to Wells Fargo:41
@1397848271434 | Worker 19: committing Transaction 133
@1397848271453 | Transaction 133: Verifying
@1397848271471 | OLTP Data Parser: 1 transactions in queue
@1397848271488 | Transaction 68: Verified => $8496.342170772556 from Capitol One:9 to Wells Fargo:42
@1397848271505 | Transaction 95: Verified => $6711.185152158252 from Citi:0 to MetLife:48
@1397848271524 | Transaction 99: Verifying
@1397848271542 | Transaction 120: Verifying
@1397848271559 | Transaction 78: Verified => $5385.154055521504 from Capitol One:6 to ???????????? ????????:78
@1397848271576 | Worker 54: committing Transaction 134
@1397848271594 | Transaction 134: Verifying
@1397848271611 | OLTP Data Parser: 1 transactions in queue
@1397848271629 | Transaction 84: Verified => $6601.437083865676 from Wells Fargo:15 to Chase:9
@1397848271670 | OLTP Data Parser: 1 transactions in queue
@1397848271687 | Transaction 87: Verified => $7183.797344603949 from Citi:4 to ???????????? ????????:21
@1397848271705 | Worker 26: committing Transaction 135
@1397848271722 | Transaction 135: Verifying
@1397848271740 | Transaction 71: Verified => $8858.001091823982 from ???????????? ????????:78 to Citi:5
@1397848271757 | Transaction 106: Verified => $4373.545740481838 from Capitol One:1 to MetLife:29
@1397848271775 | Worker 7: committing Transaction 136
@1397848271792 | Transaction 136: Verifying
@1397848271810 | OLTP Data Parser: 1 transactions in queue
@1397848271828 | Transaction 106: Verifying
@1397848271869 | OLTP Data Parser: 1 transactions in queue
@1397848271886 | Worker 21: committing Transaction 137
@1397848271904 | Transaction 137: Verifying
@1397848271921 | Transaction 107: Verified => $982.3814601360504 from ???????????? ????????:33 to Chase:39
@1397848271939 | Worker 47: committing Transaction 138
@1397848271957 | Transaction 138: Verifying
@1397848271975 | OLTP Data Parser: 1 transactions in queue
@1397848271993 | Transaction 107: Verifying
@1397848272034 | OLTP Data Parser: 1 transactions in queue
@1397848272052 | Transaction 57: Verified => $1534.0452171918428 from Citi:13 to ???????????? ????????:2
@1397848272070 | Worker 27: committing Transaction 139
@1397848272087 | Transaction 139: Verifying
@1397848272105 | Worker 28: committing Transaction 140
@1397848272123 | Transaction 140: Verifying
@1397848272141 | OLTP Data Parser: 1 transactions in queue
@1397848272158 | Transaction 59: Verified => $9786.334237089424 from Zion's Bank:11 to Chase:36
@1397848272176 | Transaction 83: Verified => $1372.3811067647584 from Zion's Bank:12 to Capitol One:1
@1397848272194 | Transaction 96: Verified => $4822.028837015467 from Citi:14 to Capitol One:17
@1397848272212 | Worker 2: committing Transaction 141
@1397848272230 | Transaction 141: Verifying
@1397848272248 | OLTP Data Parser: 1 transactions in queue
@1397848272265 | Transaction 97: Verified => $9495.230599435246 from Zion's Bank:31 to Citi:11
@1397848272284 | Transaction 97: Verifying
@1397848272302 | Transaction 96: Verifying
@1397848272320 | Worker 18: committing Transaction 142
@1397848272338 | Transaction 142: Verifying
@1397848272357 | OLTP Data Parser: 1 transactions in queue
@1397848272375 | Transaction 88: Verified => $7044.491228152814 from Citi:18 to MetLife:23
@1397848272393 | Transaction 104: Verified => $2724.9692410289895 from Zion's Bank:9 to Zion's Bank:42
@1397848272411 | Transaction 69: Verified => $1327.184051735396 from Capitol One:12 to MetLife:35
@1397848272430 | Transaction 91: Verified => $3178.8330922367313 from Zion's Bank:9 to Zion's Bank:25
@1397848272448 | Transaction 85: Verified => $9002.514855439811 from ???????????? ????????:80 to ???????????? ????????:67
@1397848272466 | Worker 149: committing Transaction 143
@1397848272484 | Transaction 143: Verifying
@1397848272502 | OLTP Data Parser: 1 transactions in queue
@1397848272520 | Transaction 104: Verifying
@1397848272538 | Transaction 130: Verified => $1373.7877419893252 from Citi:20 to Citi:24
@1397848272557 | Transaction 110: Verified => $3541.255614243087 from Chase:7 to Capitol One:15
@1397848272575 | Worker 22: committing Transaction 144
@1397848272594 | Transaction 144: Verifying
@1397848272612 | OLTP Data Parser: 1 transactions in queue
@1397848272630 | Transaction 130: Verifying
@1397848272649 | Transaction 115: Verified => $5595.202982608016 from Wells Fargo:15 to Zion's Bank:7
@1397848272667 | Transaction 110: Verifying
@1397848272685 | Transaction 81: Verified => $1898.6535087483626 from MetLife:17 to Capitol One:12
@1397848272704 | Transaction 118: Verified => $8891.697716482442 from ???????????? ????????:61 to MetLife:19
@1397848272723 | Transaction 100: Verified => $7909.9025842849105 from ???????????? ????????:12 to Zion's Bank:35
@1397848272741 | Worker 1: committing Transaction 145
@1397848272759 | Transaction 145: Verifying
@1397848272777 | OLTP Data Parser: 1 transactions in queue
@1397848272796 | Transaction 115: Verifying
@1397848272814 | Transaction 118: Verifying
@1397848272832 | Transaction 100: Verifying
@1397848272850 | Worker 148: committing Transaction 146
@1397848272869 | Transaction 146: Verifying
@1397848272887 | OLTP Data Parser: 1 transactions in queue
@1397848272947 | OLTP Data Parser: 1 transactions in queue
@1397848272965 | Worker 147: committing Transaction 147
@1397848272984 | Transaction 147: Verifying
@1397848273005 | OLTP Data Parser: 1 transactions in queue
@1397848273024 | Worker 32: committing Transaction 148
@1397848273043 | Transaction 148: Verifying
@1397848273061 | Transaction 106: Verified => $4373.545740481838 from Capitol One:1 to MetLife:29
@1397848273080 | Transaction 58: Verified => $6265.751393164972 from Chase:39 to ???????????? ????????:82
@1397848273098 | Transaction 94: Verified => $4267.713691535115 from MetLife:39 to ???????????? ????????:77
@1397848273117 | Worker 146: committing Transaction 149
@1397848273136 | Transaction 149: Verifying
@1397848273155 | OLTP Data Parser: 1 transactions in queue
@1397848273173 | Transaction 122: Verified => $928.217015824252 from Wells Fargo:50 to ???????????? ????????:37
@1397848273192 | Transaction 122: Verifying
@1397848273210 | Transaction 114: Verified => $9789.043723068444 from ???????????? ????????:80 to Zion's Bank:25
@1397848273229 | Transaction 103: Verified => $8552.210922013854 from MetLife:43 to Chase:21
@1397848273248 | Worker 145: committing Transaction 150
@1397848273267 | Transaction 150: Verifying
@1397848273285 | OLTP Data Parser: 1 transactions in queue
@1397848273304 | Transaction 132: Verified => $3915.7414219299258 from Zion's Bank:34 to Wells Fargo:21
@1397848273323 | Transaction 132: Verifying
@1397848273342 | Transaction 114: Verifying
@1397848273360 | Transaction 103: Verifying
@1397848273380 | Transaction 92: Verified => $4355.167009401181 from ???????????? ????????:1 to ???????????? ????????:25
@1397848273399 | Transaction 134: Verified => $6658.010936791301 from ???????????? ????????:49 to Chase:21
@1397848273418 | Worker 144: committing Transaction 151
@1397848273436 | Transaction 151: Verifying
@1397848273455 | OLTP Data Parser: 1 transactions in queue
@1397848273474 | Transaction 108: Verified => $3426.3691577680465 from Capitol One:1 to ???????????? ????????:32
@1397848273493 | Transaction 102: Verified => $6547.370572919877 from Citi:0 to Chase:34
@1397848273512 | Transaction 108: Verifying
@1397848273531 | Transaction 129: Verified => $8482.207676087623 from Chase:9 to Citi:23
@1397848273550 | Transaction 134: Verifying
@1397848273569 | Worker 20: committing Transaction 152
@1397848273590 | Transaction 152: Verifying
@1397848273608 | OLTP Data Parser: 1 transactions in queue
@1397848273628 | Transaction 129: Verifying
@1397848273669 | OLTP Data Parser: 1 transactions in queue
@1397848273688 | Worker 143: committing Transaction 153
@1397848273707 | Transaction 153: Verifying
@1397848273726 | Transaction 133: Verified => $3877.3015039536594 from ???????????? ????????:87 to MetLife:32
@1397848273745 | Transaction 107: Verified => $982.3814601360504 from ???????????? ????????:33 to Chase:39
@1397848273764 | Transaction 109: Verified => $2919.562266117156 from Zion's Bank:4 to Capitol One:14
@1397848273784 | Worker 0: committing Transaction 154
@1397848273803 | Transaction 154: Verifying
@1397848273822 | OLTP Data Parser: 1 transactions in queue
@1397848273841 | Transaction 74: Verified => $2232.6523307995017 from Capitol One:2 to ???????????? ????????:88
@1397848273861 | Transaction 119: Verified => $4384.767297859262 from Citi:12 to Citi:27
@1397848273880 | Transaction 119: Verifying
@1397848273900 | Transaction 133: Verifying
@1397848273919 | Transaction 109: Verifying
@1397848273938 | Transaction 113: Verified => $6873.403256963305 from ???????????? ????????:55 to Capitol One:11
@1397848273957 | Transaction 116: Verified => $1014.0162331979285 from Chase:14 to Citi:27
@1397848273977 | Transaction 125: Verified => $9178.090581258692 from Wells Fargo:21 to Capitol One:5
@1397848273996 | Transaction 135: Verified => $6892.1224697841535 from Capitol One:0 to ???????????? ????????:67
@1397848274015 | Worker 142: committing Transaction 155
@1397848274035 | Transaction 155: Verifying
@1397848274054 | OLTP Data Parser: 1 transactions in queue
@1397848274073 | Transaction 99: Verified => $6652.783084038466 from ???????????? ????????:19 to Citi:24
@1397848274093 | Transaction 125: Verifying
@1397848274112 | Transaction 113: Verifying
@1397848274132 | Transaction 135: Verifying
@1397848274151 | Worker 141: committing Transaction 156
@1397848274170 | Transaction 156: Verifying
@1397848274190 | OLTP Data Parser: 1 transactions in queue
@1397848274209 | Transaction 131: Verified => $2658.338374093009 from ???????????? ????????:35 to Capitol One:1
@1397848274229 | Transaction 131: Verifying
@1397848274252 | Transaction 136: Verified => $2372.9373400933505 from Wells Fargo:10 to ???????????? ????????:77
@1397848274275 | Transaction 128: Verified => $1543.5126838095402 from Wells Fargo:49 to MetLife:38
@1397848274294 | Transaction 127: Verified => $9570.197391255677 from Capitol One:7 to Zion's Bank:40
@1397848274314 | Worker 23: committing Transaction 157
@1397848274334 | Transaction 157: Verifying
@1397848274353 | OLTP Data Parser: 1 transactions in queue
@1397848274372 | Transaction 123: Verified => $2409.9272974498554 from MetLife:34 to Chase:31
@1397848274392 | Transaction 123: Verifying
@1397848274412 | Transaction 141: Verified => $5370.000755524311 from Capitol One:1 to Citi:11
@1397848274431 | Worker 140: committing Transaction 158
@1397848274451 | Transaction 158: Verifying
@1397848274470 | OLTP Data Parser: 1 transactions in queue
@1397848274490 | Transaction 117: Verified => $9177.80651667266 from Chase:1 to ???????????? ????????:4
@1397848274510 | Transaction 136: Verifying
@1397848274529 | Transaction 128: Verifying
@1397848274549 | Transaction 127: Verifying
@1397848274569 | Worker 139: committing Transaction 159
@1397848274588 | Transaction 159: Verifying
@1397848274608 | OLTP Data Parser: 1 transactions in queue
@1397848274627 | Transaction 117: Verifying
@1397848274647 | Transaction 100: Verified => $7909.9025842849105 from ???????????? ????????:12 to Zion's Bank:35
@1397848274667 | Transaction 141: Verifying
@1397848274687 | Transaction 138: Verified => $7680.82007896774 from Citi:9 to Wells Fargo:47
@1397848274707 | Transaction 146: Verified => $2112.954139173606 from Chase:3 to ???????????? ????????:5
@1397848274727 | Transaction 124: Verified => $574.091647551509 from Citi:1 to ???????????? ????????:22
@1397848274747 | Worker 16: committing Transaction 160
@1397848274766 | Transaction 160: Verifying
@1397848274786 | OLTP Data Parser: 1 transactions in queue
@1397848274806 | Transaction 105: Verified => $5639.138517191331 from Wells Fargo:21 to MetLife:20
@1397848274826 | Transaction 96: Verified => $4822.028837015467 from Citi:14 to Capitol One:17
@1397848274846 | Transaction 138: Verifying
@1397848274866 | Transaction 146: Verifying
@1397848274886 | Transaction 124: Verifying
@1397848274906 | Transaction 149: Verified => $8663.847153586634 from ???????????? ????????:65 to Wells Fargo:42
@1397848274926 | Transaction 120: Verified => $2927.4485637533785 from Citi:15 to Wells Fargo:41
@1397848274946 | Transaction 103: Verified => $8552.210922013854 from MetLife:43 to Chase:21
@1397848274966 | Transaction 122: Verified => $928.217015824252 from Wells Fargo:50 to ???????????? ????????:37
@1397848274986 | Transaction 121: Verified => $9945.36237496356 from ???????????? ????????:90 to Zion's Bank:13
@1397848275006 | Worker 138: committing Transaction 161
@1397848275027 | Transaction 161: Verifying
@1397848275047 | OLTP Data Parser: 1 transactions in queue
@1397848275067 | Transaction 152: Verified => $667.9352330847477 from Zion's Bank:30 to Zion's Bank:4
@1397848275087 | Transaction 149: Verifying
@1397848275108 | Transaction 121: Verifying
@1397848275128 | Transaction 115: Verified => $5595.202982608016 from Wells Fargo:15 to Zion's Bank:7
@1397848275148 | Transaction 93: Verified => $692.5014523096285 from Chase:28 to Chase:21
@1397848275168 | Transaction 153: Verified => $968.545538831791 from ???????????? ????????:16 to Chase:41
@1397848275188 | Transaction 143: Verified => $6817.223689015947 from MetLife:44 to ???????????? ????????:23
@1397848275209 | Transaction 111: Verified => $610.5654114202641 from Capitol One:9 to Chase:17
@1397848275229 | Transaction 126: Verified => $4833.548566273621 from Chase:20 to ???????????? ????????:89
@1397848275251 | Transaction 112: Verified => $6755.873029437613 from Wells Fargo:8 to Wells Fargo:43
@1397848275271 | Transaction 140: Verified => $3784.6813515284007 from Wells Fargo:1 to Citi:14
@1397848275291 | Worker 56: committing Transaction 162
@1397848275312 | Transaction 162: Verifying
@1397848275332 | OLTP Data Parser: 1 transactions in queue
@1397848275353 | Transaction 82: Verified => $715.6294041446043 from Wells Fargo:14 to MetLife:13
@1397848275373 | Transaction 152: Verifying
@1397848275393 | Worker 14: committing Transaction 163
@1397848275414 | Transaction 163: Verifying
@1397848275434 | OLTP Data Parser: 1 transactions in queue
@1397848275455 | Transaction 153: Verifying
@1397848275475 | Transaction 143: Verifying
@1397848275496 | Transaction 126: Verifying
@1397848275517 | Transaction 140: Verifying
@1397848275538 | Transaction 101: Verified => $34.873719524971534 from Zion's Bank:21 to ???????????? ????????:62
@1397848275558 | Transaction 79: Verified => $3595.3224650577085 from Wells Fargo:18 to Citi:25
@1397848275579 | Transaction 144: Verified => $4924.513890860672 from Zion's Bank:36 to ???????????? ????????:7
@1397848275600 | Worker 137: committing Transaction 164
@1397848275620 | Transaction 164: Verifying
@1397848275641 | OLTP Data Parser: 1 transactions in queue
@1397848275661 | Transaction 97: Verified => $9495.230599435246 from Zion's Bank:31 to Citi:11
@1397848275682 | Transaction 137: Verified => $6562.446156055796 from Wells Fargo:10 to Capitol One:11
@1397848275703 | Worker 136: committing Transaction 165
@1397848275723 | Transaction 165: Verifying
@1397848275744 | OLTP Data Parser: 1 transactions in queue
@1397848275765 | Transaction 144: Verifying
@1397848275785 | Transaction 157: Verified => $1961.3265955922566 from Capitol One:15 to ???????????? ????????:65
@1397848275806 | Worker 8: committing Transaction 166
@1397848275827 | Transaction 166: Verifying
@1397848275848 | OLTP Data Parser: 1 transactions in queue
@1397848275868 | Transaction 147: Verified => $1015.8291545472364 from MetLife:14 to Wells Fargo:22
@1397848275889 | Transaction 137: Verifying
@1397848275910 | Transaction 113: Verified => $6873.403256963305 from ???????????? ????????:55 to Capitol One:11
@1397848275931 | Worker 135: committing Transaction 167
@1397848275952 | Transaction 167: Verifying
@1397848275973 | OLTP Data Parser: 1 transactions in queue
@1397848275994 | Transaction 147: Verifying
@1397848276015 | Transaction 133: Verified => $3877.3015039536594 from ???????????? ????????:87 to MetLife:32
@1397848276036 | Transaction 157: Verifying
@1397848276057 | Transaction 129: Verified => $8482.207676087623 from Chase:9 to Citi:23
@1397848276078 | Transaction 127: Verified => $9570.197391255677 from Capitol One:7 to Zion's Bank:40
@1397848276099 | Worker 30: committing Transaction 168
@1397848276120 | Transaction 168: Verifying
@1397848276141 | OLTP Data Parser: 1 transactions in queue
@1397848276162 | Transaction 119: Verified => $4384.767297859262 from Citi:12 to Citi:27
@1397848276183 | Transaction 131: Verified => $2658.338374093009 from ???????????? ????????:35 to Capitol One:1
@1397848276204 | Worker 134: committing Transaction 169
@1397848276225 | Transaction 169: Verifying
@1397848276246 | OLTP Data Parser: 1 transactions in queue
@1397848276267 | Transaction 110: Verified => $3541.255614243087 from Chase:7 to Capitol One:15
@1397848276308 | OLTP Data Parser: 1 transactions in queue
@1397848276330 | Transaction 161: Verified => $129.48391289504312 from Citi:0 to Capitol One:10
@1397848276351 | Transaction 161: Verifying
@1397848276372 | Worker 133: committing Transaction 170
@1397848276393 | Transaction 170: Verifying
@1397848276414 | Worker 132: committing Transaction 171
@1397848276436 | Transaction 171: Verifying
@1397848276457 | OLTP Data Parser: 1 transactions in queue
@1397848276507 | Transaction 150: Verified => $5556.702502862525 from ???????????? ????????:57 to Wells Fargo:32
@1397848276529 | Worker 17: committing Transaction 172
@1397848276550 | Transaction 172: Verifying
@1397848276571 | OLTP Data Parser: 1 transactions in queue
@1397848276593 | Transaction 132: Verified => $3915.7414219299258 from Zion's Bank:34 to Wells Fargo:21
@1397848276614 | Transaction 117: Verified => $9177.80651667266 from Chase:1 to ???????????? ????????:4
@1397848276636 | Worker 10: committing Transaction 173
@1397848276657 | Transaction 173: Verifying
@1397848276678 | OLTP Data Parser: 1 transactions in queue
@1397848276700 | Transaction 130: Verified => $1373.7877419893252 from Citi:20 to Citi:24
@1397848276721 | Transaction 150: Verifying
@1397848276742 | Worker 131: committing Transaction 174
@1397848276764 | Transaction 174: Verifying
@1397848276785 | OLTP Data Parser: 1 transactions in queue
@1397848276830 | Transaction 158: Verified => $9668.188079809723 from ???????????? ????????:41 to Chase:16
@1397848276852 | Worker 3: committing Transaction 175
@1397848276873 | Transaction 175: Verifying
@1397848276895 | OLTP Data Parser: 1 transactions in queue
@1397848276916 | Transaction 109: Verified => $2919.562266117156 from Zion's Bank:4 to Capitol One:14
@1397848276938 | Transaction 142: Verified => $4297.073375570461 from Capitol One:4 to Wells Fargo:1
@1397848276959 | Worker 130: committing Transaction 176
@1397848276981 | Transaction 176: Verifying
@1397848277002 | OLTP Data Parser: 1 transactions in queue
@1397848277024 | Transaction 104: Verified => $2724.9692410289895 from Zion's Bank:9 to Zion's Bank:42
@1397848277045 | Transaction 158: Verifying
@1397848277067 | Worker 129: committing Transaction 177
@1397848277089 | Transaction 177: Verifying
@1397848277111 | OLTP Data Parser: 1 transactions in queue
@1397848277132 | Transaction 141: Verified => $5370.000755524311 from Capitol One:1 to Citi:11
@1397848277154 | Transaction 118: Verified => $8891.697716482442 from ???????????? ????????:61 to MetLife:19
@1397848277176 | Transaction 142: Verifying
@1397848277198 | Worker 128: committing Transaction 178
@1397848277219 | Transaction 178: Verifying
@1397848277241 | OLTP Data Parser: 1 transactions in queue
@1397848277262 | Transaction 139: Error
@1397848277284 | Transaction 139: Verifying
@1397848277305 | Transaction 152: Verified => $667.9352330847477 from Zion's Bank:30 to Zion's Bank:4
@1397848277327 | Transaction 125: Verified => $9178.090581258692 from Wells Fargo:21 to Capitol One:5
@1397848277349 | Transaction 166: Verified => $1358.4838821028345 from Capitol One:13 to ???????????? ????????:3
@1397848277370 | Transaction 143: Verified => $6817.223689015947 from MetLife:44 to ???????????? ????????:23
@1397848277392 | Transaction 163: Verified => $2922.7888524738432 from Zion's Bank:14 to Chase:27
@1397848277414 | Transaction 149: Verified => $8663.847153586634 from ???????????? ????????:65 to Wells Fargo:42
@1397848277436 | Transaction 154: Verified => $4526.056266179315 from Citi:20 to Capitol One:13
@1397848277457 | Worker 127: committing Transaction 179
@1397848277479 | Transaction 179: Verifying
@1397848277501 | OLTP Data Parser: 1 transactions in queue
@1397848277523 | Transaction 135: Verified => $6892.1224697841535 from Capitol One:0 to ???????????? ????????:67
@1397848277545 | Transaction 168: Verified => $7988.042814597009 from Citi:1 to Capitol One:11
@1397848277567 | Transaction 144: Verified => $4924.513890860672 from Zion's Bank:36 to ???????????? ????????:7
@1397848277589 | Transaction 151: Error
@1397848277611 | Worker 126: committing Transaction 180
@1397848277632 | Transaction 180: Verifying
@1397848277654 | OLTP Data Parser: 1 transactions in queue
@1397848277676 | Transaction 163: Verifying
@1397848277698 | Transaction 166: Verifying
@1397848277720 | Transaction 154: Verifying
@1397848277742 | Worker 125: committing Transaction 181
@1397848277764 | Transaction 181: Verifying
@1397848277786 | OLTP Data Parser: 1 transactions in queue
@1397848277808 | Transaction 168: Verifying
@1397848277830 | Transaction 151: Verifying
@1397848277852 | Transaction 126: Verified => $4833.548566273621 from Chase:20 to ???????????? ????????:89
@1397848277874 | Transaction 145: Verified => $7023.316335289671 from MetLife:31 to Chase:15
@1397848277897 | Worker 124: committing Transaction 182
@1397848277919 | Transaction 182: Verifying
@1397848277941 | OLTP Data Parser: 1 transactions in queue
@1397848277963 | Transaction 148: Verified => $3981.3673636724334 from Zion's Bank:42 to ???????????? ????????:64
@1397848277986 | Transaction 145: Verifying
@1397848278008 | Transaction 160: Verified => $5524.017121313696 from Zion's Bank:36 to Wells Fargo:6
@1397848278030 | Worker 123: committing Transaction 183
@1397848278052 | Transaction 183: Verifying
@1397848278075 | OLTP Data Parser: 1 transactions in queue
@1397848278097 | Transaction 148: Verifying
@1397848278119 | Transaction 160: Verifying
@1397848278141 | Transaction 114: Verified => $9789.043723068444 from ???????????? ????????:80 to Zion's Bank:25
@1397848278163 | Transaction 140: Verified => $3784.6813515284007 from Wells Fargo:1 to Citi:14
@1397848278186 | Worker 122: committing Transaction 184
@1397848278208 | Transaction 184: Verifying
@1397848278230 | OLTP Data Parser: 1 transactions in queue
@1397848278252 | Transaction 134: Verified => $6658.010936791301 from ???????????? ????????:49 to Chase:21
@1397848278293 | OLTP Data Parser: 1 transactions in queue
@1397848278316 | Worker 121: committing Transaction 185
@1397848278338 | Transaction 185: Verifying
@1397848278361 | Worker 120: committing Transaction 186
@1397848278383 | Transaction 186: Verifying
@1397848278406 | OLTP Data Parser: 1 transactions in queue
@1397848278428 | Transaction 108: Verified => $3426.3691577680465 from Capitol One:1 to ???????????? ????????:32
@1397848278451 | Transaction 142: Verified => $4297.073375570461 from Capitol One:4 to Wells Fargo:1
@1397848278473 | Worker 119: committing Transaction 187
@1397848278496 | Transaction 187: Verifying
@1397848278518 | OLTP Data Parser: 1 transactions in queue
@1397848278541 | Transaction 159: Verified => $3272.595089983087 from Wells Fargo:45 to MetLife:28
@1397848278563 | Transaction 159: Verifying
@1397848278586 | Worker 118: committing Transaction 188
@1397848278609 | Transaction 188: Verifying
@1397848278632 | OLTP Data Parser: 1 transactions in queue
@1397848278655 | Transaction 161: Verified => $129.48391289504312 from Citi:0 to Capitol One:10
@1397848278677 | Transaction 124: Verified => $574.091647551509 from Citi:1 to ???????????? ????????:22
@1397848278701 | Transaction 123: Verified => $2409.9272974498554 from MetLife:34 to Chase:31
@1397848278724 | Worker 117: committing Transaction 189
@1397848278746 | Transaction 189: Verifying
@1397848278769 | OLTP Data Parser: 1 transactions in queue
@1397848278792 | Transaction 167: Verified => $204.43583895581096 from Chase:27 to ???????????? ????????:27
@1397848278816 | Transaction 162: Verified => $4938.190480059742 from Zion's Bank:40 to Zion's Bank:19
@1397848278839 | Worker 31: committing Transaction 190
@1397848278862 | Transaction 190: Verifying
@1397848278885 | OLTP Data Parser: 1 transactions in queue
@1397848278907 | Transaction 147: Verified => $1015.8291545472364 from MetLife:14 to Wells Fargo:22
@1397848278931 | Transaction 167: Verifying
@1397848278953 | Transaction 128: Verified => $1543.5126838095402 from Wells Fargo:49 to MetLife:38
@1397848278976 | Transaction 155: Verified => $7354.815132803982 from Capitol One:10 to ???????????? ????????:3
@1397848279000 | Transaction 156: Verified => $7438.605190957758 from Chase:23 to Capitol One:3
@1397848279023 | Transaction 139: Error
@1397848279047 | Worker 116: committing Transaction 191
@1397848279070 | Transaction 191: Verifying
@1397848279092 | OLTP Data Parser: 1 transactions in queue
@1397848279115 | Transaction 162: Verifying
@1397848279139 | Transaction 155: Verifying
@1397848279164 | Transaction 156: Verifying
@1397848279187 | Transaction 136: Verified => $2372.9373400933505 from Wells Fargo:10 to ???????????? ????????:77
@1397848279210 | Transaction 174: Verified => $7561.160475228752 from Wells Fargo:10 to Chase:35
@1397848279233 | Transaction 150: Verified => $5556.702502862525 from ???????????? ????????:57 to Wells Fargo:32
@1397848279257 | Worker 29: committing Transaction 192
@1397848279280 | Transaction 192: Verifying
@1397848279303 | OLTP Data Parser: 1 transactions in queue
@1397848279326 | Transaction 183: Verified => $5597.295015843912 from Zion's Bank:16 to Zion's Bank:41
@1397848279349 | Transaction 183: Verifying
@1397848279372 | Transaction 146: Verified => $2112.954139173606 from Chase:3 to ???????????? ????????:5
@1397848279396 | Transaction 173: Verified => $2556.188296838272 from Wells Fargo:10 to Wells Fargo:9
